ĒDENES <[n,p,f,s,g,5],'ēdene','apzīmētājs'>
apzinās <[v,m,n,i,f,t,3,3,0,a,n],'apzināt',''>
kā <[q,s],'kā',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
. <[z,s],'.',''>
Pēc <[s,p,s,g,[y]],'pēc',''>
brītiņa <[n,c,m,s,g,1],'brītiņš',''>
, <[z,c],',',''>
kad <[r,_,t],'kad',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
pārdomājusi <[v,m,n,p,d,f,s,n,a,s,n],'pārdomāt',''>
savu <[p,s,0,f,s,a,[0]],'sava',''>
esmi <[n,c,f,s,a,5],'esme',''>
, <[z,c],',',''>
viņai <[p,p,3,f,s,d,[0]],'viņa',''>
ienāca <[v,m,n,i,s,i,1,3,0,a,n],'ienākt',''>
prātā <[n,c,m,s,l,1],'prāts',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
šai <[p,d,0,f,s,l,[s]],'šī',''>
pasaulē <[n,c,f,s,l,5],'pasaule',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
nebūs <[v,g,n,i,f,i,i,3,0,a,y],'nebūs',''>
mūžīgi <[r,_,_],'mūžīgi',''>
. <[z,s],'.',''>
„Es <[x],'„Es',''>
esmu <[v,m,n,i,p,i,i,1,s,a,n],'būt',''>
pasaulē <[n,c,f,s,l,5],'pasaule',''>
tagad <[r,_,t],'tagad',''>
, <[z,c],',',''>
” <[x],'”',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
domāja <[v,m,n,i,s,t,2,3,0,a,n],'domāt',''>
. <[z,s],'.',''>
„ <,'',''>
Bet <[c,c,s],'bet',''>
nāks <[v,m,n,i,f,i,1,3,0,a,n],'nākt',''>
diena <[n,c,f,s,n,4],'diena','teikuma priekšmets'>
, <[z,c],',',''>
kad <[r,_,t],'kad',''>
manis <[p,p,1,0,s,g,[0]],'es',''>
vairs <[r,_,c],'vairs','cēloņa apstāklis'>
nebūs <[v,g,n,i,f,i,i,3,0,a,y],'nebūs',''>
. <[z,s],'.',''>
” <,'',''>
Vai <[q,s],'vai',''>
pastāv <[v,m,n,i,p,t,3,3,0,a,n],'pastāvēt',''>
dzīve <[n,c,f,s,n,5],'dzīve',''>
pēc <[s,p,s,g,[y]],'pēc',''>
nāves <[n,c,f,s,g,5],'nāve',''>
? <[z,s],'?',''>
Arī <[q,s],'arī',''>
par <[s,p,s,a,[n]],'par',''>
šo <[p,d,3,m,s,a,[s]],'šis',''>
jautājumu <[n,c,m,s,a,1],'jautājums',''>
kaķim <[n,c,m,s,d,2],'kaķis',''>
nebija <[v,c,n,i,s,i,i,3,0,a,y],'nebūt',''>
nekādas <[p,z,0,f,s,g,[0]],'nekāda',''>
daļas <[n,c,f,p,n,4],'daļa',''>
. <[z,s],'.',''>
Ne <[q,s],'ne',''>
tik <[r,_,_],'tik',''>
sen <[r,_,t],'sen',''>
Sofijai <[n,p,f,s,d,4],'sofija',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
nomirusi <[v,m,n,p,d,f,s,n,a,s,n],'nomirt',''>
vecmāmiņa <[n,c,f,s,n,4],'vecmāmiņa',''>
. <[z,s],'.',''>
Vairāk <[r,_,_],'vairāk',''>
nekā <[q,s],'nekā',''>
pusgadu <[n,c,m,s,a,1],'pusgads',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
vai <[q,s],'vai',''>
ik <[q,s],'ik',''>
dienu <[n,c,f,s,a,4],'diena',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
jutusi <[v,m,n,p,d,f,s,n,a,s,n],'just',''>
, <[z,c],',',''>
cik <[c,s,s],'cik',''>
ļoti <[r,_,q],'ļoti',''>
viņai <[p,p,3,f,s,d,[0]],'viņa',''>
vecmāmiņas <[n,c,f,s,g,4],'vecmāmiņa',''>
trūkst <[v,g,n,m,p,i,1,2,s,a,n],'trūkt',''>
. <[z,s],'.',''>
Vai <[q,s],'vai',''>
nav <[v,c,n,i,p,i,i,3,0,a,y],'būt',''>
briesmīgi <[r,_,_],'briesmīgi',''>
netaisni <[a,_,m,p,n,n,p],'netaisns',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
dzīvei <[n,c,f,s,d,5],'dzīve',''>
reiz <[r,p,t],'reiz',''>
jābeidzas <[v,m,y,d,0,i,1,0,0,a,n],'beigties',''>
? <[z,s],'?',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
palika <[v,a,n,i,s,i,1,3,0,a,n],'palikt',''>
stāvam <[v,m,n,p,u,0,0,0,0,0,0],'stāvēt',''>
uz <[s,p,s,g,[y]],'uz',''>
celiņa <[n,c,m,s,g,1],'celiņš',''>
un <[c,c,s],'un',''>
domājam <[v,m,n,p,u,0,0,0,0,0,0],'domāt',''>
. <[z,s],'.',''>
Viņa <[p,p,3,f,s,n,[0]],'viņa',''>
visiem <[n,c,m,p,d,1],'viss',''>
spēkiem <[n,c,m,p,d,1],'spēks',''>
mēģināja <[v,m,n,i,s,t,3,3,0,a,n],'mēģināt',''>
domāt <[v,m,n,n,0,t,2,0,0,0,n],'domāt',''>
par <[s,p,s,a,[n]],'par',''>
to <[p,d,3,m,s,a,[s]],'tas',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
pašlaik <[r,_,t],'pašlaik',''>
ir <[v,m,n,i,p,i,i,3,0,a,n],'būt',''>
, <[z,c],',',''>
lai <[c,s,s],'lai',''>
tādā <[p,d,0,m,s,l,[a]],'tāds',''>
veidā <[n,c,m,s,l,1],'veids',''>
aizmirstu <[v,m,n,c,0,t,1,0,0,a,n],'aizmirst',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
vienmēr <[r,_,_],'vienmēr',''>
tas <[p,d,3,m,s,n,[s]],'tas',''>
tā <[r,p,m],'tā',''>
nebūs <[v,g,n,i,f,i,i,3,0,a,y],'nebūt',''>
. <[z,s],'.',''>
Bet <[c,c,s],'bet',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
gandrīz <[r,_,q],'gandrīz',''>
neiespējami <[r,_,_],'neiespējami',''>
to <[p,d,3,f,s,a,[s]],'tā',''>
izdarīt <[v,m,n,n,0,t,3,0,0,0,n],'izdarīt',''>
. <[z,s],'.',''>
Tiklīdz <[c,s,s],'tiklīdz',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
sakopoja <[v,m,n,i,s,t,2,3,0,a,n],'sakopot',''>
visas <[p,g,0,f,p,a,[0]],'visa',''>
domas <[n,c,f,p,a,4],'doma',''>
par <[s,p,s,a,[n]],'par',''>
to <[p,d,3,f,s,a,[s]],'tā',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
eksistē <[v,m,n,i,p,i,2,2,s,a,n],'eksistēt',''>
, <[z,c],',',''>
tūlīt <[r,_,t],'tūlīt',''>
klāt <[r,_,p],'klāt',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
arī <[q,s],'arī',''>
doma <[n,c,f,s,n,4],'doma',''>
par <[s,p,s,a,[n]],'par',''>
dzīves <[n,c,f,s,g,5],'dzīve',''>
galu <[n,c,m,s,a,1],'gals',''>
. <[z,s],'.',''>
Tāpat <[q,s],'tāpat',''>
notika <[v,m,n,i,s,t,1,3,0,a,n],'notikt',''>
arī <[q,s],'arī',''>
pretējā <[a,_,m,s,l,n,p],'pretējs',''>
virzienā <[n,c,m,s,l,1],'virziens',''>
: <[z,o],':',''>
tiklīdz <[c,s,s],'tiklīdz',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
spēja <[v,o,n,i,s,t,1,3,0,a,n],'spēt',''>
iejusties <[v,m,y,n,0,t,1,0,0,0,n],'iejusties',''>
stāvoklī <[n,c,m,s,l,2],'stāvoklis',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
kādu <[p,i,0,f,s,a,[0]],'kāda',''>
dienu <[n,c,f,s,a,4],'diena',''>
viņas <[p,p,3,f,s,g,[0]],'viņa',''>
vairs <[r,_,_],'vairs',''>
nemaz <[r,_,q],'nemaz',''>
nebūs <[v,g,n,i,f,i,i,3,0,a,y],'nebūt',''>
, <[z,c],',',''>
tā <[c,c,d],'tā',''>
viņai <[p,p,3,f,s,d,[0]],'viņa',''>
tūlīt <[r,_,t],'tūlīt',''>
kļuva <[v,m,n,i,s,t,1,3,0,a,n],'kļūt',''>
arī <[q,s],'arī',''>
skaidrs <[a,_,m,s,n,n,p],'skaidrs',''>
, <[z,c],',',''>
cik <[c,s,s],'cik',''>
bezgala <[n,c,f,s,n,4],'bezgala',''>
vērtīga <,'',''>
ir <,'',''>
dzīvība <,'',''>
. <,'',''>
Tas <[p,d,3,m,s,n,[s]],'tas',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
gluži <[r,_,m],'gluži',''>
kā <[q,s],'kā',''>
monētas <[n,c,f,s,g,4],'monēta',''>
divas <[m,c,s,f,p,n,n,[v]],'divas',''>
puses <[n,c,f,p,n,5],'puse',''>
, <[z,c],',',''>
ko <[p,r,0,0,0,a,[0]],'kas',''>
nepārtraukti <[v,m,n,p,d,m,p,n,p,s,n],'nepārtraukts',''>
groza <[v,m,n,i,p,t,3,3,0,a,n],'grozīt',''>
pirkstos <[n,c,m,p,l,1],'pirksts',''>
. <[z,s],'.',''>
Jo <[c,c,r],'jo',''>
lielāka <[a,_,f,s,n,n,c],'liela',''>
un <[c,c,s],'un',''>
nozīmīgāka <[a,_,f,s,n,n,c],'nozīmīga',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
viena <[m,c,s,f,s,n,n,[v]],'viena',''>
puse <[n,c,f,s,n,5],'puse',''>
, <[z,c],',',''>
jo <[c,c,r],'jo',''>
lielāka <[a,_,f,s,n,n,c],'liela',''>
un <[c,c,s],'un',''>
nozīmīgāka <[a,_,f,s,n,n,c],'nozīmīga',''>
kļuva <[v,m,n,i,s,t,1,3,0,a,n],'kļūt',''>
arī <[q,s],'arī',''>
otra <[m,c,s,f,s,n,n,[_]],'otra',''>
puse <[n,c,f,s,n,5],'puse',''>
. <[z,s],'.',''>
Dzīvība <[n,c,f,s,n,4],'dzīvība',''>
un <[c,c,s],'un',''>
nāve <[n,c,f,s,n,5],'nāve',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
vienas <[a,_,f,s,g,n,p],'viena',''>
lietas <[n,c,f,s,g,4],'lieta',''>
divas <[m,c,s,f,p,n,n,[v]],'divas',''>
puses <[n,c,f,p,n,5],'puse',''>
. <[z,s],'.',''>
Nav <[v,g,n,i,p,i,i,3,0,a,y],'būt',''>
nekādas <[p,z,0,f,s,g,[0]],'nekāda',''>
jēgas <[n,c,f,s,g,4],'jēga',''>
, <[z,c],',',''>
ja <[q,s],'ja',''>
cilvēks <[n,c,m,s,n,1],'cilvēks',''>
apzinās <[v,m,n,i,f,t,3,3,0,a,n],'apzināt',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
viņš <[p,p,3,m,s,n,[0]],'viņš',''>
dzīvo <[v,m,n,i,p,t,2,3,0,a,n],'dzīvot',''>
, <[z,c],',',''>
ja <[c,s,s],'ja',''>
viņš <[p,p,3,m,s,n,[0]],'viņš',''>
neapzinās <[v,m,n,i,f,t,3,3,0,a,y],'neapzināt',''>
to <[p,d,3,m,s,a,[s]],'tas',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
viņam <[p,p,3,m,s,d,[0]],'viņš',''>
būs <[v,c,n,i,f,i,i,3,0,a,n],'būt',''>
arī <[q,s],'arī',''>
jāmirst <[v,m,n,d,0,i,1,0,0,a,n],'mirt',''>
. <[z,s],'.',''>
Tikpat <[r,_,_],'tikpat',''>
neiespējami <[r,_,_],'neiespējami',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
domāt <[v,m,n,n,0,t,2,0,0,0,n],'domāt',''>
par <[s,p,s,a,[n]],'par',''>
to <[p,d,3,m,s,a,[s]],'tas',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
jāmirst <[v,m,n,d,0,i,1,0,0,a,n],'mirt',''>
, <[z,c],',',''>
tai <[p,d,0,m,s,l,[s]],'tas',''>
pašā <[p,g,0,m,s,l,[0]],'pats',''>
laikā <[n,c,m,s,l,1],'laiks',''>
nedomājot <[v,m,n,p,u,0,0,0,0,0,0],'nedomāt',''>
par <[s,p,s,a,[n]],'par',''>
to <[p,d,3,m,s,a,[s]],'tas',''>
, <[z,c],',',''>
cik <[c,s,s],'cik',''>
neticami <[r,_,_],'neticēt',''>
brīnumaini <[r,_,_],'brīnumaini',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
dzīvot <[v,m,n,n,0,t,2,0,0,0,n],'dzīvot',''>
. <[z,s],'.',''>
Sofijai <[n,p,f,s,d,4],'sofija',''>
atausa <[v,m,n,i,s,i,1,3,0,a,n],'ataust',''>
atmiņā <[n,c,f,s,l,4],'atmiņa',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
vecmāmiņa <[n,c,f,s,n,4],'vecmāmiņa',''>
tajā <[p,d,0,f,s,l,[s]],'tā',''>
dienā <[n,c,f,s,l,4],'diena',''>
, <[z,c],',',''>
kad <[r,_,t],'kad',''>
uzzināja <[v,m,n,i,s,t,3,3,0,a,n],'uzzināt',''>
par <[s,p,s,a,[n]],'par',''>
savu <[p,s,0,f,s,a,[0]],'sava',''>
slimību <[n,c,f,s,a,4],'slimība',''>
, <[z,c],',',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
teikusi <[v,m,n,p,d,f,s,n,a,s,n],'teikt',''>
kaut <[q,s],'kaut',''>
ko <[x],'ko',''>
līdzīgu <[a,_,m,s,a,n,p],'līdzīgs',''>
. <[z,s],'.',''>
Tagad <[r,_,t],'tagad','laika apstāklis multi'>
pirmoreiz <[r,_,t],'pirmoreiz','laika apstāklis multi'>
es <[p,p,1,0,s,n,[0]],'es','teikuma priekšmets'>
īsti <[r,_,c],'īsti','cēloņa apstāklis'>
saprotu <[v,m,n,i,p,t,1,1,s,a,n],'saprast',''>
, <[z,c],',',''>
kāda <[p,i,0,f,s,n,[0]],'kāda','apzīmētājs'>
bagātība <[n,c,f,s,n,4],'bagātība','teikuma priekšmets'>
nomināls_izteicējs <,'',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
dzīvība <[n,c,f,s,n,4],'dzīvība',''>
, <[z,c],',',''>
viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
toreiz <[r,_,t],'toreiz','laika apstāklis multi'>
teica <[v,m,n,i,s,t,1,3,0,a,n],'teikt','izteicējs'>
. <[z,s],'.',''>
Vai <[q,s],'vai',''>
nav <[v,c,n,i,p,i,i,3,0,a,y],'būt',''>
skumji <[r,_,_],'skumji',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
cilvēkam <[n,c,m,s,d,1],'cilvēks',''>
vispirms <[r,_,_],'vispirms',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
jāsaslimst <[v,m,n,d,0,i,1,0,0,a,n],'saslimt',''>
, <[z,c],',',''>
lai <[c,s,s],'lai',''>
tad <[r,p,t],'tad',''>
aptvertu <[v,m,n,c,0,t,1,0,0,a,n],'aptvert',''>
, <[z,c],',',''>
cik <[c,s,s],'cik',''>
brīnumaini <[r,_,_],'brīnumaini',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
dzīvot <[v,m,n,n,0,t,2,0,0,0,n],'dzīvot',''>
. <[z,s],'.',''>
Vai <[q,s],'vai',''>
arī <[q,s],'arī',''>
vismaz <[r,_,_],'vismaz',''>
jāsaņem <[v,m,n,d,0,t,1,0,0,a,n],'saņemt',''>
kāda <[p,i,0,f,s,n,[0]],'kāda',''>
noslēpumaina <[a,_,f,s,n,n,p],'noslēpumaina',''>
vēstule <[n,c,f,s,n,5],'vēstule',''>
savā <[p,s,0,f,s,l,[0]],'sava',''>
vēstuļu <[n,c,f,p,g,5],'vēstule',''>
kastītē <[n,c,f,s,l,5],'kastīte',''>
! <[z,s],'!',''>
Varbūt <[q,s],'varbūt',''>
viņai <[p,p,3,f,s,d,[0]],'viņa',''>
vajadzētu <[v,m,n,c,0,t,3,0,0,a,n],'vajadzēt',''>
vēlreiz <[r,_,_],'vēlreiz',''>
apskatīties <[v,m,y,n,0,i,3,0,0,0,n],'apskatīties',''>
, <[z,c],',',''>
vai <[c,s,s],'vai',''>
tur <[r,_,p],'tur',''>
neatrodas <[v,m,y,i,p,i,1,3,0,_,y],'neatrasties',''>
vēl <[r,_,_],'vēl',''>
kaut <[q,s],'kaut',''>
kas <[x],'kas',''>
? <[z,s],'?',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
aizskrēja <[v,m,n,i,s,_,1,3,0,a,n],'aizskriet',''>
līdz <[s,p,p,d,[y]],'līdz',''>
vārtiņiem <[n,c,m,p,d,1],'vārtiņš',''>
un <[c,c,s],'un',''>
pacēla <[v,m,n,i,s,t,1,3,0,a,n],'pacelt',''>
vēstuļu <[n,c,f,p,g,5],'vēstule',''>
kastes <[n,c,f,s,g,5],'kaste',''>
zaļo <[a,_,m,s,a,y,p],'zaļš',''>
vāku <[n,c,m,s,a,1],'vāks',''>
. <[z,s],'.',''>
Viņa <[p,p,3,f,s,n,[0]],'viņa',''>
sarāvās <[v,m,y,i,s,t,1,3,0,_,n],'sarauties',''>
, <[z,c],',',''>
ieraugot <,'',''>
tajā <[p,d,0,f,s,l,[s]],'tā',''>
pamatīgu <[a,_,f,s,a,n,p],'pamatīga',''>
aploksni <[n,c,f,s,a,5],'aploksne',''>
. <[z,s],'.',''>
Vai <[q,s],'vai',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
patiešām <[q,s],'patiešām',''>
nebija <[v,c,n,i,s,i,i,3,0,a,y],'nebūt',''>
pilnīgi <[r,_,_],'pilnīgi',''>
pārliecinājusies <[v,m,y,p,d,f,s,n,a,s,n],'pārliecināties',''>
par <[s,p,s,a,[n]],'par',''>
to <[p,d,3,m,s,a,[s]],'tas',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
vēstuļu <[n,c,f,p,g,5],'vēstule',''>
kastīte <[n,c,f,s,n,5],'kastīte',''>
palika <[v,a,n,i,s,i,1,3,0,a,n],'palikt',''>
gluži <[r,_,m],'gluži',''>
tukša <[a,_,f,s,n,n,p],'tukša',''>
, <[z,c],',',''>
kad <[r,_,t],'kad',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
no <[s,p,s,g,[y]],'no',''>
tās <[p,d,0,f,s,g,[s]],'tā',''>
izņēma <[v,m,n,i,s,t,1,3,0,a,n],'izņemt',''>
pirmo <[m,o,s,f,s,a,y,[v]],'pirmā',''>
aploksni <[n,c,f,s,a,5],'aploksne',''>
? <[z,s],'?',''>
Arī <[q,s],'arī',''>
uz <[s,p,s,g,[y]],'uz',''>
šīs <[p,d,0,f,s,g,[s]],'šī',''>
vēstules <[n,c,f,s,g,5],'vēstule',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
rakstīts <[v,m,n,p,d,m,s,n,p,s,n],'rakstīts',''>
viņas <[p,p,3,f,s,g,[0]],'viņa',''>
vārds <[n,c,m,s,n,1],'vārds',''>
. <[z,s],'.',''>
Viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
atplēsa <[v,m,n,i,s,t,1,3,0,a,n],'atplēst',''>
to <[p,d,3,f,s,a,[s]],'tā','tiešais papildinātājs'>
un <[c,c,s],'un',''>
izzvejoja <[v,m,n,i,s,t,2,3,0,a,n],'izzvejot',''>
baltu <[a,f,f,s,a,n,p],'balta','apzīmētājs'>
lapu <[n,c,f,s,a,4],'lapa','tiešais papildinātājs'>
, <[z,c],',',''>
daudz <[r,_,q],'daudz','mēra apstāklis'>
lielāku <[a,_,f,s,a,n,c],'liela',''>
par <[s,p,s,a,[n]],'par',''>
pirmo <[m,o,s,f,s,a,y,[v]],'pirmā',''>
. <[z,s],'.',''>
prievārdeklis <,'','vietas apstāklis multi'>
No <[s,p,s,g,[y]],'no',''>
kurienes <[n,c,f,s,g,5],'kuriene',''>
cēlusies <[v,m,y,p,d,f,s,n,a,s,n],'celties',''>
pasaule <[n,c,f,s,n,5],'pasaule',''>
? <[z,s],'?',''>
tajā <[p,d,0,f,s,l,[s]],'tā','vietas apstāklis multi'>
izteicējs <,'','izteicējs'>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
rakstīts <[v,m,n,p,d,m,s,n,p,s,n],'rakstīts',''>
. <[z,s],'.',''>
Man <[p,p,1,0,s,d,[0]],'es',''>
nav <[v,c,n,i,p,i,i,3,0,a,y],'būt',''>
ne <[q,s],'ne',''>
jausmas <[n,c,f,s,g,4],'jausma',''>
, <[z,c],',',''>
nodomāja <[v,m,n,i,s,t,2,3,0,a,n],'nodomāt',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
. <[z,s],'.',''>
To <[p,d,3,f,s,a,[s]],'tā',''>
taču <[q,s],'taču',''>
īsti <[r,_,_],'īsti',''>
nezina <[v,m,n,i,p,t,3,3,0,a,y],'nezināt',''>
neviens <[p,z,0,m,s,n,[0]],'neviens',''>
. <[z,s],'.',''>
Un <[c,c,s],'un',''>
tomēr <[c,c,s],'tomēr',''>
— <[z,d],'—',''>
Sofijai <[n,p,f,s,d,4],'sofija','netiešais papildinātājs multi'>
šķita <[v,m,n,i,s,i,1,3,0,a,n],'šķist',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
tas <[p,d,3,m,s,n,[s]],'tas','teikuma priekšmets'>
nomināls_izteicējs <,'','izteicējs'>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
pamatots <[v,m,n,p,d,m,s,n,p,s,n],'pamatots','apzīmētājs'>
jautājums <[n,c,m,s,n,1],'jautājums',''>
. <[z,s],'.',''>
Pirmo <[m,o,s,f,s,a,y,[v]],'pirmā',''>
reizi <[n,c,f,s,a,5],'reize',''>
mūžā <[n,c,m,s,l,1],'mūžs',''>
viņai <[p,p,3,f,s,d,[0]],'viņa',''>
likās <[v,m,y,i,s,i,1,3,0,_,n],'likties',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
nav <[v,c,n,i,p,i,i,3,0,a,y],'būt',''>
pareizi <[r,_,_],'pareizi',''>
dzīvot <[v,m,n,n,0,t,2,0,0,0,n],'dzīvot',''>
pasaulē <[n,c,f,s,l,5],'pasaule',''>
un <[c,c,s],'un',''>
pat <[q,s],'pat',''>
nejautāt <[v,m,n,n,0,t,2,0,0,0,y],'nejautāt',''>
, <[z,c],',',''>
no <[s,p,s,g,[y]],'no',''>
kurienes <[n,c,f,s,g,5],'kuriene',''>
tā <[p,d,3,f,s,n,[s]],'tā',''>
cēlusies <[v,m,y,p,d,f,s,n,a,s,n],'celties',''>
. <[z,s],'.',''>
Noslēpumaino <[a,_,m,s,a,y,p],'noslēpumains',''>
vēstuļu <[n,c,f,p,g,5],'vēstule',''>
dēļ <[s,t,p,g,[y]],'dēļ',''>
Sofijai <[n,p,f,s,d,4],'sofija',''>
gandrīz <[r,_,q],'gandrīz',''>
vai <[q,s],'vai',''>
apreiba <[v,m,n,i,s,i,1,3,0,a,n],'apreibt',''>
galva <[n,c,f,s,n,4],'galva',''>
, <[z,c],',',''>
un <[c,c,s],'un',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
nolēma <[v,m,n,i,s,t,1,3,0,a,n],'nolemt',''>
doties <[v,m,y,n,0,i,2,0,0,0,n],'doties',''>
uz <[s,p,s,a,[y]],'uz',''>
Slēpni <[n,c,m,s,a,2],'slēpnis',''>
. <[z,s],'.',''>
Slēpnis <[n,c,m,s,n,2],'slēpnis',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
Sofijas <[n,p,f,s,g,4],'sofija',''>
superslepenā <[a,f,f,s,n,y,p],'superslepena',''>
paslēptuve <[n,c,f,s,n,5],'paslēptuve',''>
. <[z,s],'.',''>
Turp <[r,_,p],'turp',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
devās <[v,m,y,i,s,t,1,3,0,_,n],'doties',''>
vienīgi <[r,_,_],'vienīgi',''>
tad <[r,p,t],'tad',''>
, <[z,c],',',''>
ja <[c,s,s],'ja',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
ārkārtīgi <[r,_,_],'ārkārtīgi',''>
sadusmojusies <[v,m,y,p,d,f,s,n,a,s,n],'sadusmoties',''>
, <[z,c],',',''>
ārkārtīgi <[r,_,_],'ārkārtīgi',''>
nogurusi <[v,m,n,p,d,f,s,n,a,s,n],'nogurt',''>
vai <[c,c,s],'vai',''>
ārkārtīgi <[r,_,_],'ārkārtīgi',''>
laimīga <[a,_,f,s,n,n,p],'laimīga',''>
. <[z,s],'.',''>
Šodien <[r,_,t],'šodien',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
tikai <[q,s],'tikai',''>
apjukusi <[v,m,n,p,d,f,s,n,a,s,n],'apjukt',''>
. <[z,s],'.',''>
Sarkanā <[a,f,f,s,n,y,p],'sarkana','apzīmētājs'>
māja <[n,c,f,s,n,4],'māja','teikuma priekšmets'>
atradās <[v,m,y,i,s,i,1,3,0,_,n],'atrasties','izteicējs'>
liela <[a,f,m,s,g,n,p],'liels','apzīmētājs'>
dārza <[n,c,m,s,g,1],'dārzs','apzīmētājs'>
vidū <[n,c,m,s,l,3],'vidus','veida apstāklis multi'>
. <[z,s],'.',''>
Tur <[r,_,p],'tur',''>
bija <[v,m,n,i,s,i,i,3,0,a,n],'būt',''>
daudz <[r,_,q],'daudz',''>
puķu <[n,c,f,p,g,5],'puķe',''>
dobju <[n,c,f,p,g,5],'dobe',''>
, <[z,c],',',''>
ogu <[n,c,f,p,g,4],'oga',''>
krūmu <[n,c,m,p,g,1],'krūms',''>
, <[z,c],',',''>
dažādu <[a,_,m,p,g,n,p],'dažāds',''>
augļu <[n,c,m,p,g,2],'auglis',''>
koku <[n,c,m,p,g,1],'koks',''>
, <[z,c],',',''>
liels <[a,_,m,s,n,n,p],'liels',''>
zālājs <[n,c,m,s,n,1],'zālājs',''>
ar <[s,p,p,d,[n]],'ar',''>
dārza <[n,c,m,s,g,1],'dārzs',''>
šūpolēm <[n,c,f,d,d,5],'šūpoles',''>
un <[c,c,s],'un',''>
pat <[q,s],'pat',''>
neliela <[a,_,f,s,n,n,p],'neliela',''>
lapene <[n,c,f,s,n,5],'lapene',''>
, <[z,c],',',''>
ko <[p,r,0,0,0,a,[0]],'kas',''>
vectēvs <[n,c,m,s,n,1],'vectēvs',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
ierīkojis <[v,m,n,p,d,m,s,n,a,s,n],'ierīkot',''>
vecmāmiņai <[n,c,f,s,d,4],'vecmāmiņa',''>
, <[z,c],',',''>
kad <[r,_,t],'kad',''>
viņi <[p,p,3,m,p,n,[0]],'viņš',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
zaudējuši <[v,m,n,p,d,m,p,n,a,s,n],'zaudēt',''>
savu <[p,s,0,f,s,a,[0]],'sava',''>
pirmdzimto <[x],'pirmdzimto',''>
tikai <[q,s],'tikai',''>
dažas <[p,i,0,f,p,l,[0]],'daža',''>
nedēļas <[n,c,f,s,g,4],'nedēļa',''>
pēc <[s,p,s,g,[y]],'pēc',''>
